word,COCA-Acad
action,"35,869"
receive,"35,761"
hand,"35,745"
physical,"35,732"
period,"35,597"
organization,"35,398"
black,"35,362"
increase,"35,289"
though,"35,265"
environmental,"35,191"
view,"35,174"
military,"35,119"
major,"35,104"
put,"35,086"
move,"35,027"
source,"34,883"
story,"34,626"
why,"34,610"
reason,"34,602"
themselves,"34,548"
according,"34,471"
line,"34,449"
nature,"34,413"
site,"34,284"
cultural,"34,239"
court,"34,191"
serve,"34,159"
skill,"34,141"
back,"34,101"
where,"34,053"
resource,"33,989"
sense,"33,907"
century,"33,736"
today,"33,636"
out,"33,603"
strategy,"33,515"
change,"33,392"
on,"33,299"
cost,"33,249"
long,"33,193"
theory,"33,143"
product,"33,132"
method,"33,105"
goal,"33,049"
teach,"33,029"
much,"33,021"
position,"33,008"
white,"32,961"
likely,"32,958"
note,"32,829"
well,"32,763"
president,"32,729"
represent,"32,705"
play,"32,580"
over,"32,492"
party,"32,474"
nation,"32,284"
care,"32,272"
turn,"32,073"
month,"31,976"
set,"31,813"
risk,"31,808"
general,"31,754"
decision,"31,706"
food,"31,624"
article,"31,513"
event,"31,498"
course,"31,464"
so,"31,447"
especially,"31,406"
similar,"31,385"
color,"31,210"
itself,"31,137"
environment,"31,116"
language,"31,095"
determine,"31,067"
treatment,"31,055"
structure,"30,887"
section,"30,856"
always,"30,787"
common,"30,755"
start,"30,721"
occur,"30,702"
current,"30,626"
available,"30,610"
meet,"30,486"
present,"30,357"
five,"30,351"
religious,"30,184"
next,"30,162"
personal,"30,075"
explain,"30,005"
term,"29,927"
something,"29,862"
energy,"29,854"
reduce,"29,853"
ability,"29,825"
add,"29,760"
long,"29,676"
build,"29,607"
measure,"29,534"
read,"29,528"
able,"29,502"
after,"29,480"
involve,"29,330"
movement,"29,315"
job,"29,278"
recent,"28,902"
specific,"28,840"
drug,"28,772"
kind,"28,768"
almost,"28,745"
focus,"28,692"
side,"28,689"
than,"28,657"
strong,"28,634"
region,"28,595"
relate,"28,592"
opportunity,"28,578"
there,"28,569"
worker,"28,545"
individual,"28,495"
space,"28,403"
evidence,"28,325"
perhaps,"28,200"
leader,"28,165"
quality,"28,155"
later,"28,051"
only,"27,989"
establish,"27,926"
big,"27,814"
land,"27,717"
author,"27,714"
sample,"27,646"
seek,"27,629"
compare,"27,616"
again,"27,518"
run,"27,391"
growth,"27,328"
institution,"27,323"
price,"27,314"
situation,"27,284"
natural,"27,263"
various,"27,132"
report,"27,117"
real,"27,091"
score,"27,076"
upon,"27,049"
together,"27,049"
once,"27,024"
standard,"26,890"
team,"26,866"
example,"26,843"
already,"26,776"
pay,"26,718"
best,"26,707"
money,"26,673"
management,"26,648"
scale,"26,610"
across,"26,429"
argue,"26,358"
degree,"26,200"
house,"26,142"
design,"26,112"
computer,"26,106"
plan,"25,976"
per,"25,972"
concern,"25,937"
training,"25,896"
state,"25,860"
therefore,"25,808"
examine,"25,731"
rule,"25,716"
pattern,"25,705"
industry,"25,627"
because,"25,574"
special,"25,564"
item,"25,554"
around,"25,450"
researcher,"25,445"
expect,"25,414"
certain,"25,281"
task,"25,244"
foreign,"25,158"
traditional,"25,145"
